"","d_1","d_2","P_11","P_22","sigma_1","sigma_2","mu_1","Neg_lklihood","Convergence"
"Vietnam",0.537392927459601,1.45220288265038,0.987627125184105,0.84801726275042,0.00953176143855433,0.0455282622349614,-0.00156221996051403,-254.6981331286,0
"Mongolia",1.00138596398685,-1.36265321072656,0.987675811185112,0.800042207666903,0.00158587817534202,4.19915553031583,0.154814010103929,-380.768164305496,0
"Russian Federation",0.502861823604853,0.942594292173785,0.989075055623228,0.989401447941808,0.104128623674325,0.0249443877287817,0.0369611371312697,-138.424433795287,0
